email,dépenses
orobert@ifrance.com,34.3
asanchez@free.fr,12.41
cfontaine@free.fr,109.39
tclerc@hotmail.fr,112.0
jbesnard@ifrance.com,66.38
mrolland@voila.fr,7.3
lbrunel@hotmail.fr,77.59
vgros@voila.fr,17.41
jtraore@sfr.fr,41.2
zcoste@ifrance.com,85.68
bmorin@dbmail.com,65.71
vmorel@ifrance.com,115.8
bvoisin@bouygtel.fr,75.97
pbrunet@live.com,81.75
idias@laposte.net,131.69
afoucher@free.fr,95.96
fdiaz@orange.fr,102.97
fbarbier@free.fr,35.23
cfoucher@noos.fr,15.68
mboutin@hotmail.fr,128.47
llecomte@orange.fr,78.5
zchauveau@gmail.com,31.27
mberger@orange.fr,45.17
lbaron@yahoo.fr,48.13
ppascal@orange.fr,128.48
eroy@yahoo.fr,68.69
vpichon@hotmail.fr,132.9
cda costa@laposte.net,82.45
nmallet@free.fr,146.81
dlevy@dbmail.com,34.63
vcharpentier@tiscali.fr,54.97
hpaul@tiscali.fr,71.34
abouvier@free.fr,23.62
vboucher@ifrance.com,73.71
pbegue@gmail.com,112.3
alegrand@noos.fr,76.65
vhuet@free.fr,150.55
ndelaunay@bouygtel.fr,113.73
cmorvan@wanadoo.fr,28.37
ablot@dbmail.com,143.63
znguyen@noos.fr,82.77
ilegrand@wanadoo.fr,120.15
nraymond@yahoo.fr,33.02
wleclercq@noos.fr,13.61
lbarre@tiscali.fr,86.71
plefevre@voila.fr,143.19
mmarty@free.fr,16.95
tguerin@yahoo.fr,27.04
zriou@bouygtel.fr,122.24
hpascal@free.fr,18.11
slombard@dbmail.com,55.07
vgauthier@orange.fr,25.04
mroyer@gmail.com,90.71
achretien@yahoo.fr,68.47
adelattre@club-internet.fr,16.94
alacroix@ifrance.com,100.83
vmoreno@yahoo.fr,148.62
zlagarde@laposte.net,142.54
pphilippe@tele2.fr,47.96
dsimon@voila.fr,74.53
vadam@orange.fr,86.31
zlemaitre@free.fr,138.92
tguillou@tiscali.fr,35.55
jlombard@noos.fr,120.23
jdelaunay@noos.fr,2.67
apasquier@ifrance.com,133.71
nlecomte@wanadoo.fr,35.65
mcharrier@bouygtel.fr,151.04
oimbert@yahoo.fr,33.99
nguillon@ifrance.com,138.54
ejulien@sfr.fr,12.72
ile roux@sfr.fr,13.39
jbrun@sfr.fr,51.77
tnicolas@free.fr,86.81
avalentin@ifrance.com,142.22
pauger@tele2.fr,141.86
ncoulon@live.com,100.15
abenard@laposte.net,133.97
dfoucher@tele2.fr,29.78
bbarbe@sfr.fr,150.01
svallee@laposte.net,131.07
vfournier@noos.fr,111.08
mrenaud@sfr.fr,69.52
mroux@orange.fr,134.9
cmeunier@live.com,149.93
sfaivre@tele2.fr,135.17
cclerc@dbmail.com,34.64
clambert@sfr.fr,19.34
fmunoz@hotmail.fr,15.93
lboutin@bouygtel.fr,61.34
vdubois@hotmail.fr,58.24
ebonnet@dbmail.com,45.54
rleveque@bouygtel.fr,99.44
sbrunet@voila.fr,149.27
ablondel@hotmail.fr,137.86
elemaitre@wanadoo.fr,145.33
erobin@wanadoo.fr,82.28
ccarpentier@free.fr,58.26
jmasse@voila.fr,122.32
tvalette@club-internet.fr,12.86
ndavid@voila.fr,142.65
tseguin@yahoo.fr,56.54
bschmitt@free.fr,70.45
egodard@club-internet.fr,64.97
tboyer@tele2.fr,97.87
jguyon@yahoo.fr,109.44
etoussaint@live.com,14.88
glaine@tele2.fr,56.29
glambert@club-internet.fr,99.61
adelattre@laposte.net,49.5
zda silva@laposte.net,55.22
jmaillet@hotmail.fr,10.6
bdumas@yahoo.fr,147.65
ztoussaint@hotmail.fr,11.98
arobert@wanadoo.fr,141.16
pleduc@noos.fr,104.02
sleleu@noos.fr,58.91
yhoareau@dbmail.com,11.0
vreynaud@gmail.com,107.82
mpineau@club-internet.fr,51.26
rfleury@noos.fr,113.53
croussel@live.com,119.92
cturpin@dbmail.com,146.63
alouis@ifrance.com,112.88
hdelorme@club-internet.fr,38.93
mfournier@tiscali.fr,10.77
shenry@yahoo.fr,109.34
vrodrigues@tiscali.fr,109.91
jbreton@sfr.fr,77.26
rsamson@live.com,140.29
nguibert@ifrance.com,98.06
